"Gene_Symbol","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BRK1","ENSG00000254999",5362.36544276705,0.109942006154348,0.256535695318735,0.428564165379595,0.668240428487928,0.869161943924596
"PGPEP1","ENSG00000130517",4118.61478768617,-0.128866733048896,0.300761188150584,-0.428468626026226,0.66830997068609,0.869174546744737
"TAF7","ENSG00000178913",5305.85899884699,0.122661587029903,0.286424776560314,0.428250616105738,0.668468668718905,0.86932663327025
"DIRAS2","ENSG00000165023",25.0159008752845,0.573250105463221,1.33923391447278,0.428043300926183,0.668619595372145,0.869414287099146
"ZNF285BP","ENSG00000176761",9.16433903465599,0.347373374726499,0.81153169186572,0.428046591659143,0.668617199594835,0.869414287099146
"SLC23A3","ENSG00000213901",56.2328617995181,0.378353256138408,0.884216864912295,0.427896448430597,0.668726512945105,0.869499003590731
"RFC5","ENSG00000111445",582.34490615259,-0.128829608091903,0.301122140255691,-0.427831736259946,0.668773629484735,0.86950595919393
"IGFN1","ENSG00000163395",68.7780024220884,0.411162160067152,0.96144984395477,0.427648059493049,0.668907370532006,0.869625531738918
"SDR39U1","ENSG00000100445",280.244358494968,0.148230357420006,0.346719339528605,0.427522611289979,0.668998719500059,0.869689980176859
"ENSG00000245156","ENSG00000245156",20.3479132033937,0.243825535743718,0.570518729164571,0.427375164529234,0.669106093657914,0.869775251812079
"ATP11B","ENSG00000058063",5614.13731496689,0.15438012,0.361579125062556,0.426960820742323,0.669407864650474,0.869940993122882
"FAF2","ENSG00000113194",2687.59832966235,0.115550995542115,0.270522421261789,0.427140179372765,0.669277229293823,0.869940993122882
"STXBP3","ENSG00000116266",3504.022788677,0.134814802735735,0.315745765616953,0.426972638801073,0.669399256692534,0.869940993122882
"GPR146","ENSG00000164849",40.6725648126122,0.218780020458649,0.51253073873337,0.426862242446814,0.669479668136719,0.869940993122882
"CCS","ENSG00000173992",1173.590387673,0.105549544049366,0.247144614876595,0.427076042510857,0.669323942048434,0.869940993122882
"ENSG00000231769","ENSG00000231769",23.3815301850804,0.290743628143093,0.681128365593443,0.426855851010959,0.669484323701686,0.869940993122882
"NCAPH2","ENSG00000025770",1146.94779935273,-0.10717609256529,0.25136917058543,-0.426369281148043,0.669838781748022,0.87007573210397
"GBA2","ENSG00000070610",6394.2338443395,0.128764098897142,0.301986974392789,0.426389579073902,0.669823993576429,0.87007573210397
"TBC1D2","ENSG00000095383",1385.45581576621,0.145899408190372,0.342074419402526,0.426513647074818,0.669733605897104,0.87007573210397
"TMEM192","ENSG00000170088",1657.18410201561,-0.168403745135355,0.394748734554649,-0.426609968301346,0.669663435966906,0.87007573210397
"LILRA6","ENSG00000244482",75.7809490556035,0.25312446880934,0.593664793867478,0.426376081964267,0.669833826959667,0.87007573210397
"ENSG00000291147","ENSG00000291147",81.8799017386248,-0.183979898347196,0.431284752631775,-0.42658567738488,0.669681131606676,0.87007573210397
"MIR193BHG","ENSG00000262454",41.1024638548582,-0.282225765675047,0.66263338154523,-0.425915405917085,0.670169488597042,0.870450986624234
"MPHOSPH9","ENSG00000051825",565.872585188339,0.142188259971968,0.333937343034761,0.425793230190392,0.670258520350618,0.870458008525213
